Z Scores,Price,Count,0.038590221,-0.001542183
1.309714784,0.049,5,,
-2.369973917,-0.093,1,,
0.09178965,0.002,36,,
0.143616252,0.004,37,,
-3.354679344,-0.131,1,,
4.859836982,0.186,1,,
2.113027106,0.08,2,,
0.325009357,0.011,21,,
0.299096056,0.01,17,,
0.558229063,0.02,7,,
0.143616252,0.004,37,,
1.672500994,0.063,5,,
-0.011863552,-0.002,37,,
-0.99656898,-0.04,11,,
0.42866256,0.015,14,,
0.765535469,0.028,10,,
0.169529553,0.005,31,,
1.698414295,0.064,3,,
-1.02248228,-0.041,9,,
-0.841089175,-0.034,10,,
0.143616252,0.004,37,,
-1.177962085,-0.047,8,,
-0.219169958,-0.01,31,,
0.06587635,0.001,43,,
0.143616252,0.004,37,,
-0.245083259,-0.011,14,,
-0.970655679,-0.039,11,,
-0.27099656,-0.012,28,,
-0.530129567,-0.022,17,,
0.350922658,0.012,16,,
0.713708868,0.026,7,,
-0.29690986,-0.013,26,,
1.15423498,0.043,4,,
0.584142364,0.021,10,,
-1.203875385,-0.048,5,,
1.050581777,0.039,9,,
-1.514834994,-0.06,5,,
-1.152048784,-0.046,4,,
-1.411181791,-0.056,5,,
-1.463008392,-0.058,2,,
-0.737435972,-0.03,7,,
0.661882266,0.024,5,,
-0.141430056,-0.007,24,,
-1.307528588,-0.052,5,,
0.221356154,0.007,25,,
-3.043719736,-0.119,1,,
-0.607869469,-0.025,9,,
-0.763349273,-0.031,11,,
0.350922658,0.012,16,,
1.206061581,0.045,5,,
-1.177962085,-0.047,8,,
-0.193256657,-0.009,25,,
0.869188672,0.032,9,,
-1.074308882,-0.043,7,,
-1.307528588,-0.052,5,,
0.42866256,0.015,14,,
2.035287204,0.077,2,,
-0.037776853,-0.003,37,,
0.713708868,0.026,7,,
-1.488921693,-0.059,6,,
2.138940407,0.081,2,,
-5.505483304,-0.214,1,,
0.610055665,0.022,8,,
-0.789262574,-0.032,9,,
-3.717465554,-0.145,1,,
0.765535469,0.028,10,,
3.382778841,0.129,2,,
1.465194588,0.055,3,,
0.532315763,0.019,7,,
-0.763349273,-0.031,11,,
0.273182755,0.009,32,,
2.009373903,0.076,3,,
0.584142364,0.021,10,,
-0.556042867,-0.023,21,,
1.102408378,0.041,6,,
0.169529553,0.005,31,,
-0.115516755,-0.006,36,,
-0.556042867,-0.023,21,,
-0.219169958,-0.01,31,,
-0.918829077,-0.037,9,,
0.376835958,0.013,13,,
0.81736207,0.03,7,,
0.273182755,0.009,32,,
0.273182755,0.009,32,,
-1.644401497,-0.065,2,,
1.102408378,0.041,6,,
0.765535469,0.028,10,,
1.206061581,0.045,5,,
-0.063690154,-0.004,41,,
-0.322823161,-0.014,24,,
0.843275371,0.031,5,,
-1.177962085,-0.047,8,,
-0.763349273,-0.031,11,,
1.283801483,0.048,3,,
-1.488921693,-0.059,6,,
-0.685609371,-0.028,9,,
0.273182755,0.009,32,,
2.99407933,0.114,2,,
-0.478302965,-0.02,11,,
3.382778841,0.129,2,,
-0.530129567,-0.022,17,,
-1.02248228,-0.041,9,,
-0.063690154,-0.004,41,,
-1.02248228,-0.041,9,,
1.827980798,0.069,6,,
-1.514834994,-0.06,5,,
-1.644401497,-0.065,2,,
0.325009357,0.011,21,,
-0.65969607,-0.027,11,,
-0.581956168,-0.024,12,,
-1.203875385,-0.048,5,,
-1.229788686,-0.049,7,,
1.076495078,0.04,3,,
-0.478302965,-0.02,11,,
-1.488921693,-0.059,6,,
2.164853707,0.082,1,,
0.972841875,0.036,3,,
0.895101973,0.033,6,,
-1.670314798,-0.066,4,,
-1.670314798,-0.066,4,,
-0.763349273,-0.031,11,,
0.06587635,0.001,43,,
-0.99656898,-0.04,11,,
-0.970655679,-0.039,11,,
-1.126135483,-0.045,4,,
-0.478302965,-0.02,11,,
-0.400563063,-0.017,18,,
0.81736207,0.03,7,,
-0.063690154,-0.004,41,,
-1.35935519,-0.054,2,,
2.216680309,0.084,1,,
-0.556042867,-0.023,21,,
-1.048395581,-0.042,7,,
-0.063690154,-0.004,41,,
-1.514834994,-0.06,5,,
-0.348736462,-0.015,18,,
-0.530129567,-0.022,17,,
0.247269455,0.008,28,,
-0.452389665,-0.019,16,,
-0.99656898,-0.04,11,,
-0.581956168,-0.024,12,,
-0.892915777,-0.036,3,,
-0.322823161,-0.014,24,,
-0.193256657,-0.009,25,,
-0.037776853,-0.003,37,,
